,turns
2410,27
2411,28
2412,28
2413,22
2414,17
2415,16
2416,20
2417,30
2418,10
2419,12
2420,21
2421,18
2422,28
2423,30
2424,21
2425,29
2426,19
2427,12
2428,8
2429,11
2430,12
2431,33
2432,14
2433,18
2434,15
2435,19
2436,19
2437,15
2438,21
2439,17
2440,15
2441,10
2442,9
2443,15
2444,11
2445,13
2446,8
2447,34
2448,17
2449,9
2450,19
2451,17
2452,13
2453,14
2454,14
2455,15
2456,15
2457,44
2458,8
2459,9
2460,27
2461,11
2462,22
2463,13
2464,17
2465,25
2466,27
2467,20
2468,16
2469,15
2470,24
2471,16
2472,10
2473,18
2474,18
2475,12
2476,18
2477,21
2478,19
2479,24
2480,17
2481,16
2482,14
2483,24
2484,16
2485,12
2486,16
2487,13
2488,39
2489,12
2490,15
2491,12
2492,12
2493,13
2494,11
2495,13
2496,11
2497,32
2498,14
2499,14
2500,13
2501,21
2502,10
2503,11
2504,16
2505,14
2506,19
2507,13
2508,11
2509,18
2510,14
2511,17
2512,10
2513,20
2514,12
2515,15
2516,12
2517,10
2518,19
2519,10
2520,30
2521,13
2522,14
2523,7
2524,23
2525,20
2526,14
2527,14
2528,19
2529,13
2530,20
2531,18
2532,13
2533,12
2534,17
2535,14
2536,18
2537,13
2538,15
2539,8
2540,11
2541,20
2542,10
2543,19
2544,21
2545,10
2546,26
2547,26
2548,14
2549,8
2550,11
2551,14
2552,14
2553,30
2554,37
2555,22
2556,16
2557,18
2558,28
2559,10
2560,24
2561,26
2562,14
2563,30
2564,20
2565,14
2566,14
2567,10
2568,41
2569,17
2570,10
2571,20
2572,28
2573,16
2574,14
2575,19
2576,22
2577,9
2578,12
2579,20
2580,11
2581,13
2582,22
2583,8
2584,36
2585,10
2586,8
2587,15
2588,15
2589,16
2590,10
2591,10
2592,29
2593,18
2594,13
2595,40
2596,11
2597,14
2598,9
2599,28
2600,12
2601,11
2602,13
2603,17
2604,34
2605,11
2606,10
2607,21
2608,11
2609,16
2610,17
2611,25
2612,18
2613,11
2614,15
2615,14
2616,17
2617,10
2618,25
2619,17
2620,18
2621,24
2622,9
2623,23
2624,15
2625,14
2626,21
2627,11
2628,36
2629,11
2630,19
2631,26
2632,19
2633,20
2634,11
2635,17
2636,15
2637,14
2638,15
2639,21
2640,35
2641,12
2642,14
2643,11
2644,17
2645,15
2646,14
2647,9
2648,19
2649,12
2650,11
2651,14
2652,20
2653,16
2654,13
2655,29
2656,18
2657,10
2658,11
2659,8
2660,13
2661,18
2662,14
2663,24
2664,18
2665,17
2666,18
2667,12
2668,11
2669,23
2670,18
2671,13
2672,9
2673,19
2674,19
2675,14
2676,15
2677,23
2678,9
2679,17
2680,11
2681,27
2682,24
2683,15
2684,17
2685,22
2686,16
2687,20
2688,17
2689,18
2690,31
2691,26
2692,12
2693,24
2694,12
2695,21
2696,28
2697,12
2698,28
2699,28
2700,49
2701,12
2702,8
2703,11
2704,17
2705,11
2706,14
2707,14
2708,16
2709,12
2710,12
2711,9
2712,18
2713,16
2714,10
2715,32
2716,10
2717,26
2718,12
2719,13
2720,13
2721,31
2722,38
2723,26
2724,15
2725,17
2726,25
2727,20
2728,14
2729,17
2730,12
2731,28
2732,40
2733,14
2734,11
2735,13
2736,11
2737,12
2738,9
2739,9
2740,15
2741,18
2742,18
2743,8
2744,13
2745,21
2746,10
2747,12
2748,13
2749,15
2750,11
2751,12
2752,10
2753,14
2754,16
2755,15
2756,18
2757,15
2758,16
2759,10
2760,18
2761,14
2762,17
2763,15
2764,12
2765,9
2766,16
2767,22
2768,20
2769,19
2770,14
2771,16
2772,13
2773,35
2774,17
2775,17
2776,20
2777,15
2778,8
2779,17
2780,11
2781,28
2782,19
2783,10
2784,9
2785,8
2786,27
2787,14
2788,22
2789,9
2790,20
2791,16
2792,15
2793,26
2794,12
2795,11
2796,15
2797,19
2798,15
2799,12
2800,23
2801,11
2802,10
2803,27
2804,16
2805,11
2806,11
2807,11
2808,19
2809,11
2810,21
2811,26
2812,15
2813,17
2814,21
2815,9
2816,29
2817,19
2818,20
2819,20
2820,29
2821,23
2822,16
2823,12
2824,14
2825,33
2826,10
2827,18
2828,41
2829,24
2830,17
2831,14
2832,40
2833,15
2834,16
2835,15
2836,15
2837,12
2838,26
2839,16
2840,28
2841,8
2842,16
2843,21
2844,15
2845,12
2846,25
2847,18
2848,19
2849,22
2850,10
2851,28
2852,16
2853,18
2854,45
2855,26
2856,19
2857,13
2858,30
2859,14
2860,18
2861,36
2862,21
2863,15
2864,19
2865,9
2866,10
2867,15
2868,15
2869,17
2870,28
2871,14
2872,13
2873,20
2874,16
2875,14
2876,17
2877,9
2878,31
2879,27
2880,16
2881,27
2882,8
2883,15
2884,22
2885,11
2886,20
2887,23
2888,14
2889,18
2890,10
2891,25
2892,11
2893,22
2894,18
2895,23
2896,11
2897,25
2898,35
2899,34
2900,24
2901,15
2902,18
2903,11
2904,12
2905,21
2906,9
2907,19
2908,18
2909,13
2910,35
2911,9
2912,20
2913,35
2914,27
2915,16
2916,16
2917,30
2918,15
2919,15
2920,26
2921,16
2922,30
2923,20
2924,9
2925,15
2926,11
2927,18
2928,14
2929,18
2930,11
2931,14
2932,11
2933,19
2934,37
2935,15
2936,10
2937,18
2938,18
2939,20
2940,18
2941,32
2942,13
2943,17
2944,10
2945,23
2946,13
2947,14
2948,21
2949,13
2950,19
2951,16
2952,18
2953,7
2954,24
2955,7
2956,15
2957,11
2958,26
2959,15
2960,17
2961,11
2962,13
2963,18
2964,10
2965,13
2966,11
2967,10
2968,9
2969,9
2970,38
2971,23
2972,12
2973,9
2974,11
2975,14
2976,16
2977,16
2978,11
2979,12
2980,16
2981,7
2982,24
2983,16
2984,19
2985,17
2986,16
2987,13
2988,15
2989,11
2990,15
2991,16
2992,17
2993,21
